REDIGERE

ctrl-c                  cp linje|utvalg
ctrl-shift-c            cp path
ctrl-shift-alt-c        cp referanse
ctrl-d                  dup linje|utvalg
ctrl-shift-j            join
ctrl-alt-l              formater alt|utvalg
alt-m                   ta opp makro
shift-alt-m             spill av makro
ctrl-alt-o              optimaliser import
ctrl-r                  repl fritekst|alt-↓ i fil
ctrl-shift-r            repl fritekst|alt-↓ i ...
shift-alt-u             uppercase
ctrl-v                  paste
ctrl-shift-v            paste fra stack
ctrl-shift-alt-v        paste simple
ctrl-x                  cut linje|utvalg
ctrl-y                  slett linje|utvalg
ctrl-z                  undo
ctrl-shift-z            redo

  tab                         rykk inn
  shift-tab                   rykk ut
  ctrl-shift-up|down          mv metode|stmt
  ctrl-shift-alt-left|right   mv arg|param|element
  delete                      slett tegn
  ctrl-delete                 slett ord
  bs                          slett tegn
  ctrl-bs                     slett ord
  enter                       crlf
  ctrl-enter                  split
  shift-enter                 newline ↓
  ctrl-alt-enter              newline ↑

